room	room_header	state	entry_door	fx_list	selected_record	expected_type	actual_type	expected_base_y	actual_base_y	target_y	velocity	liquid_options	classification
$00/$01	92B3	92C5	892E	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$01	92B3	92C5	8B0E	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$01	92B3	92DF	default	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$01	92B3	92DF	892E	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$01	92B3	92DF	8B0E	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$02	92FD	9314	default	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8916	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	89BE	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8B3E	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8BB6	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8BCE	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8BF2	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9314	8C8E	80F0	80F0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	default	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8916	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	89BE	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8B3E	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8BB6	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8BCE	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8BF2	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	932E	8C8E	8050	8050	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$02	92FD	9348	default	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8916	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	89BE	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8B3E	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8BB6	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8BCE	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8BF2	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$02	92FD	9348	8C8E	8010	8010	None	None	04E8	04E8	0010	FF98	00	None
$00/$03	93AA	93B7	default	8100	8100	Acid	Acid	00C0	00C0	FFFF	0000	42	VisibleLavaOrAcid
$00/$03	93AA	93B7	893A	8100	8100	Acid	Acid	00C0	00C0	FFFF	0000	42	VisibleLavaOrAcid
$00/$04	93D5	93E2	default	8110	none	None	None	0000	0000	0000	0000	00	None
$00/$04	93D5	93E2	899A	8110	none	None	None	0000	0000	0000	0000	00	None
$00/$05	93FE	940B	default	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	8A12	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	8AEA	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	A18C	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	A1B0	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	A1E0	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$05	93FE	940B	A300	8112	8112	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$06	9461	946E	default	8122	8122	Water	Water	00B0	00B0	FFFF	0000	83	VisibleWater
$00/$06	9461	946E	89E2	8122	8122	Water	Water	00B0	00B0	FFFF	0000	83	VisibleWater
$00/$06	9461	946E	8B26	8122	8122	Water	Water	00B0	00B0	FFFF	0000	83	VisibleWater
$00/$07	948C	9499	default	8132	8132	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$07	948C	9499	8AD2	8132	8132	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$07	948C	9499	8ADE	8132	8132	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$07	948C	9499	8AF6	8132	8132	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$08	94CC	94D9	default	8142	none	None	None	0000	0000	0000	0000	00	None
$00/$08	94CC	94D9	8ABA	8142	none	None	None	0000	0000	0000	0000	00	None
$00/$08	94CC	94D9	A594	8142	none	None	None	0000	0000	0000	0000	00	None
$00/$09	94FD	950A	default	8144	8144	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$09	94FD	950A	8A7E	8144	8144	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$09	94FD	950A	A264	8144	8144	Water	Water	04F0	04F0	FFFF	0000	01	VisibleWater
$00/$0A	9552	955F	default	8154	none	None	None	0000	0000	0000	0000	00	None
$00/$0A	9552	955F	8A72	8154	none	None	None	0000	0000	0000	0000	00	None
$00/$0A	9552	955F	8A96	8154	none	None	None	0000	0000	0000	0000	00	None
$00/$0B	957D	958A	default	8156	8156	Water	Water	01B0	01B0	FFFF	0000	03	VisibleWater
$00/$0B	957D	958A	8A8A	8156	8156	Water	Water	01B0	01B0	FFFF	0000	03	VisibleWater
$00/$0B	957D	958A	8AA2	8156	8156	Water	Water	01B0	01B0	FFFF	0000	03	VisibleWater
$00/$0C	95A8	95B5	default	8166	none	None	None	0000	0000	0000	0000	00	None
$00/$0C	95A8	95B5	8A4E	8166	none	None	None	0000	0000	0000	0000	00	None
$00/$0C	95A8	95B5	8AAE	8166	none	None	None	0000	0000	0000	0000	00	None
$00/$0D	95D4	95E1	default	8168	none	None	None	0000	0000	0000	0000	00	None
$00/$0D	95D4	95E1	8922	8168	none	None	None	0000	0000	0000	0000	00	None
$00/$0D	95D4	95E1	8A2A	8168	none	None	None	0000	0000	0000	0000	00	None
$00/$0E	95FF	960C	default	816A	816A	Water	Water	00B0	00B0	FFFF	0000	01	VisibleWater
$00/$0E	95FF	960C	89CA	816A	816A	Water	Water	00B0	00B0	FFFF	0000	01	VisibleWater
$00/$0E	95FF	960C	8A36	816A	816A	Water	Water	00B0	00B0	FFFF	0000	01	VisibleWater
$00/$0F	962A	9637	default	817A	none	None	None	0000	0000	0000	0000	00	None
$00/$0F	962A	9637	8A42	817A	none	None	None	0000	0000	0000	0000	00	None
$00/$0F	962A	9637	90BA	817A	none	None	None	0000	0000	0000	0000	00	None
$00/$10	965B	9668	default	817C	817C	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$10	965B	9668	8952	817C	817C	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$10	965B	9668	8C5E	817C	817C	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
$00/$11	968F	969C	default	818C	none	None	None	0000	0000	0000	0000	00	None
$00/$11	968F	969C	8A1E	818C	none	None	None	0000	0000	0000	0000	00	None
$00/$11	968F	969C	A198	818C	none	None	None	0000	0000	0000	0000	00	None
$00/$12	96BA	96D1	default	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96D1	898E	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96D1	8B7A	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96D1	8C6A	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96D1	8C76	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96D1	AB34	818E	818E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$12	96BA	96EB	default	8060	8070	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$12	96BA	96EB	898E	8060	8070	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$12	96BA	96EB	8B7A	8060	8070	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$12	96BA	96EB	8C6A	8060	8070	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$12	96BA	96EB	8C76	8060	8070	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$12	96BA	96EB	AB34	8060	8060	Lava	Lava	0908	0908	0000	FF80	0B	VisibleLavaOrAcid
$00/$12	96BA	9705	default	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$12	96BA	9705	898E	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$12	96BA	9705	8B7A	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$12	96BA	9705	8C6A	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$12	96BA	9705	8C76	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$12	96BA	9705	AB34	8020	8020	Acid	Acid	08E8	08E8	0010	FF98	01	VisibleLavaOrAcid
$00/$13	975C	976D	default	819E	819E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$13	975C	976D	8B62	819E	819E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$13	975C	976D	8B92	819E	819E	Fog	Fog	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$13	975C	9787	default	8080	8080	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$13	975C	9787	8B62	8080	8080	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$13	975C	9787	8B92	8080	8080	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97C6	default	81AE	81AE	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97C6	8B86	81AE	81AE	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97C6	8EB6	81AE	81AE	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97E0	default	8090	8090	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97E0	8B86	8090	8090	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$14	97B5	97E0	8EB6	8090	8090	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$15	9804	981B	default	81BE	none	None	None	0000	0000	0000	0000	00	None
$00/$15	9804	981B	8BC2	81BE	none	None	None	0000	0000	0000	0000	00	None
$00/$15	9804	9835	default	81BE	none	None	None	0000	0000	0000	0000	00	None
$00/$15	9804	9835	8BC2	81BE	none	None	None	0000	0000	0000	0000	00	None
$00/$15	9804	984F	default	8030	8030	Acid	Acid	00F0	00F0	00B8	FFF0	00	VisibleLavaOrAcid
$00/$15	9804	984F	8BC2	8030	8030	Acid	Acid	00F0	00F0	00B8	FFF0	00	VisibleLavaOrAcid
$00/$16	9879	9890	default	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	9890	8982	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	9890	8BAA	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	98AA	default	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	98AA	8982	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	98AA	8BAA	81C0	none	None	None	0000	0000	0000	0000	00	None
$00/$16	9879	98C4	default	8040	8040	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$16	9879	98C4	8982	8040	8040	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$16	9879	98C4	8BAA	8040	8040	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$17	98E2	98EF	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$17	98E2	98EF	8976	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$17	98E2	98EF	8C2E	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$18	990D	991A	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$18	990D	991A	895E	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$18	990D	991A	8C3A	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$19	9938	9945	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$19	9938	9945	8C22	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$19	9938	9945	8CA6	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1A	9969	9976	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1A	9969	9976	8BFE	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1A	9969	9976	8C46	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1B	9994	99A1	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1B	9994	99A1	8BDA	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1C	99BD	99CA	default	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1C	99BD	99CA	8B1A	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1C	99BD	99CA	8BE6	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1C	99BD	99CA	8C16	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1C	99BD	99CA	91E6	81C2	none	None	None	0000	0000	0000	0000	00	None
$00/$1D	99F9	9A06	default	81C4	81C4	Acid	Acid	07E0	07E0	FFFF	0000	40	VisibleLavaOrAcid
$00/$1D	99F9	9A06	8B4A	81C4	81C4	Acid	Acid	07E0	07E0	FFFF	0000	40	VisibleLavaOrAcid
$00/$1D	99F9	9A06	8B56	81C4	81C4	Acid	Acid	07E0	07E0	FFFF	0000	40	VisibleLavaOrAcid
$00/$1E	9A44	9A56	default	81D4	81D4	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1E	9A44	9A56	89A6	81D4	81D4	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1E	9A44	9A56	8C9A	81D4	81D4	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1E	9A44	9A70	default	80A0	80A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1E	9A44	9A70	89A6	80A0	80A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1E	9A44	9A70	8C9A	80A0	80A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1F	9A90	9AA2	default	81E4	81E4	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1F	9A90	9AA2	8C82	81E4	81E4	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1F	9A90	9ABC	default	80B0	80B0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$1F	9A90	9ABC	8C82	80B0	80B0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	default	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8C0A	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8CEE	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8D06	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8D42	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8D4E	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8D8A	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8DA2	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8F16	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	8F46	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$00	9AD9	9AE6	9006	8204	8204	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$01	9B5B	9B68	default	8214	8214	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$01	9B5B	9B68	8E4A	8214	8214	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$01	9B5B	9B68	8F76	8214	8214	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$02	9B9D	9BAA	default	8224	none	None	None	0000	0000	0000	0000	00	None
$01/$02	9B9D	9BAA	8CB2	8224	none	None	None	0000	0000	0000	0000	00	None
$01/$02	9B9D	9BAA	8D72	8224	none	None	None	0000	0000	0000	0000	00	None
$01/$03	9BC8	9BD5	default	8226	none	None	None	0000	0000	0000	0000	00	None
$01/$03	9BC8	9BD5	8CD6	8226	none	None	None	0000	0000	0000	0000	00	None
$01/$03	9BC8	9BD5	8D66	8226	none	None	None	0000	0000	0000	0000	00	None
$01/$04	9C07	9C14	default	8228	none	None	None	0000	0000	0000	0000	00	None
$01/$04	9C07	9C14	8D5A	8228	none	None	None	0000	0000	0000	0000	00	None
$01/$05	9C35	9C42	default	822A	none	None	None	0000	0000	0000	0000	00	None
$01/$05	9C35	9C42	8D36	822A	none	None	None	0000	0000	0000	0000	00	None
$01/$06	9C5E	9C6B	default	822C	822C	Fireflea	Fireflea	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$06	9C5E	9C6B	8CCA	822C	822C	Fireflea	Fireflea	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$06	9C5E	9C6B	8D96	822C	822C	Fireflea	Fireflea	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$07	9C89	9C96	default	823C	none	None	None	0000	0000	0000	0000	00	None
$01/$07	9C89	9C96	8D7E	823C	none	None	None	0000	0000	0000	0000	00	None
$01/$08	9CB3	9CC0	default	823E	823E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$08	9CB3	9CC0	8CE2	823E	823E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$08	9CB3	9CC0	8DD2	823E	823E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$08	9CB3	9CC0	8F6A	823E	823E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	default	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8DAE	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8E32	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8E62	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8E6E	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8E7A	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8F82	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8F8E	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8FB2	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$09	9D19	9D26	8FD6	824E	824E	Spores	Spores	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$01/$0A	9D9C	9DA9	default	825E	825E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0A	9D9C	9DA9	8DC6	825E	825E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0A	9D9C	9DA9	8E56	825E	825E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DD9	default	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DD9	8D2A	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DD9	8E3E	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DF3	default	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DF3	8D2A	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0B	9DC7	9DF3	8E3E	826E	826E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0C	9E11	9E1E	default	827E	827E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0C	9E11	9E1E	8DDE	827E	827E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0C	9E11	9E1E	8E02	827E	827E	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0D	9E52	9E5F	default	828E	none	None	None	0000	0000	0000	0000	00	None
$01/$0D	9E52	9E5F	8DEA	828E	none	None	None	0000	0000	0000	0000	00	None
$01/$0D	9E52	9E5F	8E9E	828E	none	None	None	0000	0000	0000	0000	00	None
$01/$0D	9E52	9E5F	8EFE	828E	none	None	None	0000	0000	0000	0000	00	None
$01/$0E	9E9F	9EB1	default	8290	8290	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9EB1	8B9E	8290	8290	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9EB1	8E86	8290	8290	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9EB1	8EC2	8290	8290	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9ECB	default	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9ECB	8B9E	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9ECB	8E86	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0E	9E9F	9ECB	8EC2	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F23	default	82A0	82A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F23	8EAA	82A0	82A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F23	8EE6	82A0	82A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F23	8FA6	82A0	82A0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F3D	default	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F3D	8EAA	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F3D	8EE6	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$0F	9F11	9F3D	8FA6	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F76	default	82B0	82B0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F76	8ECE	82B0	82B0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F76	8FE2	82B0	82B0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F90	default	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F90	8ECE	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$10	9F64	9F90	8FE2	81F4	81F4	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$11	9FBA	9FC7	default	82C0	82C0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$11	9FBA	9FC7	8E92	82C0	82C0	None	None	FFFF	FFFF	FFFF	0000	00	None
$01/$11	9FBA	9FC7	902A	82C0	82C0	None	None	FFFF	FFFF	FFFF	0000	00	None
